Day,List 1,List 2,List 3,List 4,List 5,List 6,List 7,List 8,List 9,List 10
63,Luke 19,Ex 13,Col 2,Rev 20,Job 1,Ps 63,Prov 1,1 Sam 14,Isaiah 63,Acts 7
64,Luke 20,Ex 14,Col 3,Rev 21,Job 2,Ps 64,Prov 2,1 Sam 15,Isaiah 64,Acts 8
65,Luke 21,Ex 15,Col 4,Rev 22,Job 3,Ps 65,Prov 3,1 Sam 16,Isaiah 65,Acts 9
66,Luke 22,Ex 16,Heb 1,1 Thes 1,Job 4,Ps 66,Prov 4,1 Sam 17,Isaiah 66,Acts 10
67,Luke 23,Ex 17,Heb 2,1 Thes 2,Job 5,Ps 67,Prov 5,1 Sam 18,Jeremiah 1,Acts 11
68,Luke 24,Ex 18,Heb 3,1 Thes 3,Job 6,Ps 68,Prov 6,1 Sam 19,Jeremiah 2,Acts 12
69,John 1,Ex 19,Heb 4,1 Thes 4,Job 7,Ps 69,Prov 7,1 Sam 20,Jeremiah 3,Acts 13
70,John 2,Ex 20,Heb 5,1 Thes 5,Job 8,Ps 70,Prov 8,1 Sam 21,Jeremiah 4,Acts 14
71,John 3,Ex 21,Heb 6,2 Thes 1,Job 9,Ps 71,Prov 9,1 Sam 22,Jeremiah 5,Acts 15
72,John 4,Ex 22,Heb 7,2 Thes 2,Job 10,Ps 72,Prov 10,1 Sam 23,Jeremiah 6,Acts 16
73,John 5,Ex 23,Heb 8,2 Thes 3,Job 11,Ps 73,Prov 11,1 Sam 24,Jeremiah 7,Acts 17
74,John 6,Ex 24,Heb 9,1 Tim 1,Job 12,Ps 74,Prov 12,1 Sam 25,Jeremiah 8,Acts 18
75,John 7,Ex 25,Heb 10,1 Tim 2,Job 13,Ps 75,Prov 13,1 Sam 26,Jeremiah 9,Acts 19
76,John 8,Ex 26,Heb 11,1 Tim 3,Job 14,Ps 76,Prov 14,1 Sam 27,Jeremiah 10,Acts 20
77,John 9,Ex 27,Heb 12,1 Tim 4,Job 15,Ps 77,Prov 15,1 Sam 28,Jeremiah 11,Acts 21
78,John 10,Ex 28,Heb 13,1 Tim 5,Job 16,Ps 78,Prov 16,1 Sam 29,Jeremiah 12,Acts 22
79,John 11,Ex 29,Rom 1,1 Tim 6,Job 17,Ps 79,Prov 17,1 Sam 30,Jeremiah 13,Acts 23
80,John 12,Ex 30,Rom 2,2 Tim 1,Job 18,Ps 80,Prov 18,1 Sam 31,Jeremiah 14,Acts 24
81,John 13,Ex 31,Rom 3,2 Tim 2,Job 19,Ps 81,Prov 19,2 Sam 1,Jeremiah 15,Acts 25
82,John 14,Ex 32,Rom 4,2 Tim 3,Job 20,Ps 82,Prov 20,2 Sam 2,Jeremiah 16,Acts 26
83,John 15,Ex 33,Rom 5,2 Tim 4,Job 21,Ps 83,Prov 21,2 Sam 3,Jeremiah 17,Acts 27
84,John 16,Ex 34,Rom 6,Titus 1,Job 22,Ps 84,Prov 22,2 Sam 4,Jeremiah 18,Acts 28
85,John 17,Ex 35,Rom 7,Titus 2,Job 23,Ps 85,Prov 23,2 Sam 5,Jeremiah 19,Acts 1
86,John 18,Ex 36,Rom 8,Titus 3,Job 24,Ps 86,Prov 24,2 Sam 6,Jeremiah 20,Acts 2
87,John 19,Ex 37,Rom 9,Philemon 1,Job 25,Ps 87,Prov 25,2 Sam 7,Jeremiah 21,Acts 3
88,John 20,Ex 38,Rom 10,James 1,Job 26,Ps 88,Prov 26,2 Sam 8,Jeremiah 22,Acts 4
89,John 21,Ex 39,Rom 11,James 2,Job 27,Ps 89,Prov 27,2 Sam 9,Jeremiah 23,Acts 5
90,Matt 1,Ex 40,Rom 12,James 3,Job 28,Ps 90,Prov 28,2 Sam 10,Jeremiah 24,Acts 6
91,Matt 2,Lev 1,Rom 13,James 4,Job 29,Ps 91,Prov 29,2 Sam 11,Jeremiah 25,Acts 7
92,Matt 3,Lev 2,Rom 14,James 5,Job 30,Ps 92,Prov 30,2 Sam 12,Jeremiah 26,Acts 8
93,Matt 4,Lev 3,Rom 15,1 Peter 1,Job 31,Ps 93,Prov 31,2 Sam 13,Jeremiah 27,Acts 9
94,Matt 5,Lev 4,Rom 16,1 Peter 2,Job 32,Ps 94,Prov 1,2 Sam 14,Jeremiah 28,Acts 10
95,Matt 6,Lev 5,1 Cor 1,1 Peter 3,Job 33,Ps 95,Prov 2,2 Sam 15,Jeremiah 29,Acts 11
96,Matt 7,Lev 6,1 Cor 2,1 Peter 4,Job 34,Ps 96,Prov 3,2 Sam 16,Jeremiah 30,Acts 12
97,Matt 8,Lev 7,1 Cor 3,1 Peter 5,Job 35,Ps 97,Prov 4,2 Sam 17,Jeremiah 31,Acts 13
98,Matt 9,Lev 8,1 Cor 4,2 Peter 1,Job 36,Ps 98,Prov 5,2 Sam 18,Jeremiah 32,Acts 14
99,Matt 10,Lev 9,1 Cor 5,2 Peter 2,Job 37,Ps 99,Prov 6,2 Sam 19,Jeremiah 33,Acts 15
100,Matt 11,Lev 10,1 Cor 6,2 Peter 3,Job 38,Ps 100,Prov 7,2 Sam 20,Jeremiah 34,Acts 16
101,Matt 12,Lev 11,1 Cor 7,1 John 1,Job 39,Ps 101,Prov 8,2 Sam 21,Jeremiah 35,Acts 17
102,Matt 13,Lev 12,1 Cor 8,1 John 2,Job 40,Ps 102,Prov 9,2 Sam 22,Jeremiah 36,Acts 18
103,Matt 14,Lev 13,1 Cor 9,1 John 3,Job 41,Ps 103,Prov 10,2 Sam 23,Jeremiah 37,Acts 19
104,Matt 15,Lev 14,1 Cor 10,1 John 4,Job 42,Ps 104,Prov 11,2 Sam 24,Jeremiah 38,Acts 20
105,Matt 16,Lev 15,1 Cor 11,1 John 5,Eccl 1,Ps 105,Prov 12,1 Kings 1,Jeremiah 39,Acts 21
106,Matt 17,Lev 16,1 Cor 12,2 John 1,Eccl 2,Ps 106,Prov 13,1 Kings 2,Jeremiah 40,Acts 22
107,Matt 18,Lev 17,1 Cor 13,3 John 1,Eccl 3,Ps 107,Prov 14,1 Kings 3,Jeremiah 41,Acts 23
108,Matt 19,Lev 18,1 Cor 14,Jude 1,Eccl 4,Ps 108,Prov 15,1 Kings 4,Jeremiah 42,Acts 24
109,Matt 20,Lev 19,1 Cor 15,Rev 1,Eccl 5,Ps 109,Prov 16,1 Kings 5,Jeremiah 43,Acts 25
110,Matt 21,Lev 20,1 Cor 16,Rev 2,Eccl 6,Ps 110,Prov 17,1 Kings 6,Jeremiah 44,Acts 26
111,Matt 22,Lev 21,2 Cor 1,Rev 3,Eccl 7,Ps 111,Prov 18,1 Kings 7,Jeremiah 45,Acts 27
112,Matt 23,Lev 22,2 Cor 2,Rev 4,Eccl 8,Ps 112,Prov 19,1 Kings 8,Jeremiah 46,Acts 28
113,Matt 24,Lev 23,2 Cor 3,Rev 5,Eccl 9,Ps 113,Prov 20,1 Kings 9,Jeremiah 47,Acts 1
114,Matt 25,Lev 24,2 Cor 4,Rev 6,Eccl 10,Ps 114,Prov 21,1 Kings 10,Jeremiah 48,Acts 2
115,Matt 26,Lev 25,2 Cor 5,Rev 7,Eccl 11,Ps 115,Prov 22,1 Kings 11,Jeremiah 49,Acts 3
116,Matt 27,Lev 26,2 Cor 6,Rev 8,Eccl 12,Ps 116,Prov 23,1 Kings 12,Jeremiah 50,Acts 4
117,Matt 28,Lev 27,2 Cor 7,Rev 9,Songs 1,Ps 117,Prov 24,1 Kings 13,Jeremiah 51,Acts 5
118,Mark 1,Num 1,2 Cor 8,Rev 10,Songs 2,Ps 118,Prov 25,1 Kings 14,Jeremiah 52,Acts 6
119,Mark 2,Num 2,2 Cor 9,Rev 11,Songs 3,Ps 119,Prov 26,1 Kings 15,Lam 1,Acts 7
120,Mark 3,Num 3,2 Cor 10,Rev 12,Songs 4,Ps 120,Prov 27,1 Kings 16,Lam 2,Acts 8
121,Mark 4,Num 4,2 Cor 11,Rev 13,Songs 5,Ps 121,Prov 28,1 Kings 17,Lam 3,Acts 9
122,Mark 5,Num 5,2 Cor 12,Rev 14,Songs 6,Ps 122,Prov 29,1 Kings 18,Lam 4,Acts 10
123,Mark 6,Num 6,2 Cor 13,Rev 15,Songs 7,Ps 123,Prov 30,1 Kings 19,Lam 5,Acts 11
124,Mark 7,Num 7,Gal 1,Rev 16,Songs 8,Ps 124,Prov 31,1 Kings 20,Ezekiel 1,Acts 12
125,Mark 8,Num 8,Gal 2,Rev 17,Job 1,Ps 125,Prov 1,1 Kings 21,Ezekiel 2,Acts 13
126,Mark 9,Num 9,Gal 3,Rev 18,Job 2,Ps 126,Prov 2,1 Kings 22,Ezekiel 3,Acts 14
127,Mark 10,Num 10,Gal 4,Rev 19,Job 3,Ps 127,Prov 3,2 Kings 1,Ezekiel 4,Acts 15
128,Mark 11,Num 11,Gal 5,Rev 20,Job 4,Ps 128,Prov 4,2 Kings 2,Ezekiel 5,Acts 16
129,Mark 12,Num 12,Gal 6,Rev 21,Job 5,Ps 129,Prov 5,2 Kings 3,Ezekiel 6,Acts 17
130,Mark 13,Num 13,Eph 1,Rev 22,Job 6,Ps 130,Prov 6,2 Kings 4,Ezekiel 7,Acts 18
131,Mark 14,Num 14,Eph 2,1 Thes 1,Job 7,Ps 131,Prov 7,2 Kings 5,Ezekiel 8,Acts 19
132,Mark 15,Num 15,Eph 3,1 Thes 2,Job 8,Ps 132,Prov 8,2 Kings 6,Ezekiel 9,Acts 20
133,Mark 16,Num 16,Eph 4,1 Thes 3,Job 9,Ps 133,Prov 9,2 Kings 7,Ezekiel 10,Acts 21
134,Luke 1,Num 17,Eph 5,1 Thes 4,Job 10,Ps 134,Prov 10,2 Kings 8,Ezekiel 11,Acts 22
135,Luke 2,Num 18,Eph 6,1 Thes 5,Job 11,Ps 135,Prov 11,2 Kings 9,Ezekiel 12,Acts 23
136,Luke 3,Num 19,Phil 1,2 Thes 1,Job 12,Ps 136,Prov 12,2 Kings 10,Ezekiel 13,Acts 24
137,Luke 4,Num 20,Phil 2,2 Thes 2,Job 13,Ps 137,Prov 13,2 Kings 11,Ezekiel 14,Acts 25
138,Luke 5,Num 21,Phil 3,2 Thes 3,Job 14,Ps 138,Prov 14,2 Kings 12,Ezekiel 15,Acts 26
139,Luke 6,Num 22,Phil 4,1 Tim 1,Job 15,Ps 139,Prov 15,2 Kings 13,Ezekiel 16,Acts 27
140,Luke 7,Num 23,Col 1,1 Tim 2,Job 16,Ps 140,Prov 16,2 Kings 14,Ezekiel 17,Acts 28
141,Luke 8,Num 24,Col 2,1 Tim 3,Job 17,Ps 141,Prov 17,2 Kings 15,Ezekiel 18,Acts 1
